,Date ,24-25/11/2003,24-25/11/2003,25-26/11/2003,25-26/11/2003,27-28/11/2003,27-28/11/2003,28-29/11/2003,28-29/11/2003,29-30/11/2003,29-30/11/2003
,& environment,AFS 1.2m,AFS 2m,AFS 2m,AFS 1.2m,MO 2m,MO 1.2m,MO 2m,MO 1.2m,Open area 2m,Open area 2m
,16:50,22.11,27.2,18.38,15.07,1245,882.70,950.5,866.00,1056,803.10
,17:00,20.06,25,19.35,16.13,947.7,824.30,709.2,631.00,1063,640.50
,17:10,19.46,24.33,16.86,13.69,483.2,569.70,484.8,647.50,632.2,501.20
,17:20,18.65,23.37,20.02,16.21,467.7,492.80,126.9,455.70,441.9,411.10
,17:30,14.21,17.95,24.46,20.57,304.4,217.20,105,147.00,210.6,215.10
,17:40,23.4,4.644,7.35,19.54,229.6,315.5,98,136.3,218.2,178.6
,17:50,18.18,1.765,4.21,15.12,185.8,210.8,92.36,81.84,142.5,146.4
,18:00,13.06,1.758,4.26,10.38,108.2,104.3,87.03,76.39,133.9,118.3
,18:10,9.04,1.8,4.28,6.64,100.1,98.18,80.02,70.08,134.9,119
,18:20,6.923,1.273,3.74,4.71,111.5,104.8,72.73,63.5,100.9,89.6
,18:30,4.862,2.173,4.74,2.803,99.4,83.1,64.22,55.79,94.69,83.47
,18:40,3.779,2.196,4.69,1.771,78.9,69.72,56.95,49.42,86.84,76.38
,18:50,2.94,1.088,3.43,1.012,39.46,41.7,47.5,40.96,74.1,65.34
,19:00,2.366,7.429,2.68,0.4802,24.99,22.32,34.25,29.25,43.68,38.74
,19:10,1.405,4.115,2.03,0.4153,14.34,6.19,12.89,7.835,13.385,19.675
,19:20,0.5723,1.445,1.29,0.8404,2.247,1.416,4.954,2.027,6.8108,5.152
