Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,21.0,47.1,231.2,402.0,531.5
Nov 2003,29.3,33.0,544.6,893.2,869.7
Jan 2004,24.0,25.2,297.2,669.7,751.9
Mar 2004,28.7,25.0,205.0,303.7,712.2
May 2004,2.4,6.3,71.5,105.2,176.1
Jul 2004,8.6,52.8,196.3,328.5,348.7
Sep 2004,15.9,27.9,70.4,346.3,446.4
Nov 2004,19.7,21.8,118.8,166.0,647.5
Jan 2005,32.3,32.0,251.2,302.2,536.9
Mar 2005,5.6,11.6,23.4,186.5,452.2
May 2005,11.5,15.6,18.0,44.9,84.3
