Trait,Sex,Feature,Label,Importance_pct
leaf_area_increase,F,PAR_afternoon,PPFD afternoon,1.2994742357825173
leaf_area_increase,F,RFR_morning,R:FR morning,47.03313540212598
leaf_area_increase,F,RFR_afternoon,R:FR afternoon,32.23098973668316
leaf_area_increase,F,DTR,DTR,0.39895265134856095
leaf_area_increase,F,precip_monthly,Precipitation,0.6809808443696252
leaf_area_increase,F,is_MO,System,0.0
leaf_area_increase,F,is_cresc,Phase (growth),3.1308913761162267
leaf_area_increase,M,GDD,GDD,0.37584594187690495
leaf_area_increase,M,Tmax,T max,2.1067237887944428
leaf_area_increase,M,Tmin,T min,17.88453262930249
leaf_area_increase,M,night_hours,Night length,18.460853865980024
leaf_area_increase,M,PAR_midday,PPFD midday,0.20838278337647337
leaf_area_increase,M,DLI,DLI,0.6940098815639724
leaf_area_increase,M,RFR_midday,R:FR midday,0.39234827017380813
leaf_area_increase,M,PAR_morning,PPFD morning,0.5992311166438171
leaf_area_increase,M,PAR_afternoon,PPFD afternoon,2.0271929787886793
leaf_area_increase,M,RFR_morning,R:FR morning,34.94102571109835
leaf_area_increase,M,RFR_afternoon,R:FR afternoon,2.3911806199973262
leaf_area_increase,M,DTR,DTR,3.3702032183247495
leaf_area_increase,M,precip_monthly,Precipitation,0.06897390583373018
leaf_area_increase,M,is_MO,System,0.00031961664150894807
leaf_area_increase,M,is_cresc,Phase (growth),16.479175671603716
leaf_shed,F,GDD,GDD,8.847028410010871
leaf_shed,F,Tmax,T max,27.610132499693
leaf_shed,F,Tmin,T min,31.906220195397523
leaf_shed,F,night_hours,Night length,13.480890561958564
leaf_shed,F,PAR_midday,PPFD midday,1.0819023124375131
leaf_shed,F,DLI,DLI,3.9518133841251717
leaf_shed,F,RFR_midday,R:FR midday,0.7945446232541653
leaf_shed,F,PAR_morning,PPFD morning,0.670147963910153
leaf_shed,F,PAR_afternoon,PPFD afternoon,0.9499159224410223
leaf_shed,F,RFR_morning,R:FR morning,1.429709115848404
leaf_shed,F,RFR_afternoon,R:FR afternoon,0.7232337617857332
leaf_shed,F,DTR,DTR,5.207620156893504
leaf_shed,F,precip_monthly,Precipitation,3.3239198019581404
leaf_shed,F,is_MO,System,0.02292129028624951
leaf_shed,F,is_cresc,Phase (growth),0.0
leaf_shed,M,GDD,GDD,6.742736577487977
leaf_shed,M,Tmax,T max,28.299191925913608
leaf_shed,M,Tmin,T min,2.4830775521368404
leaf_shed,M,night_hours,Night length,24.749346615980723
leaf_shed,M,PAR_midday,PPFD midday,3.355358745740005
leaf_shed,M,DLI,DLI,1.8203411762944408
leaf_shed,M,RFR_midday,R:FR midday,2.5201226771899083
leaf_shed,M,PAR_morning,PPFD morning,2.4502941956442212
leaf_shed,M,PAR_afternoon,PPFD afternoon,4.341680231041879
leaf_shed,M,RFR_morning,R:FR morning,2.3019235190185516
leaf_shed,M,RFR_afternoon,R:FR afternoon,5.363757452498545
leaf_shed,M,DTR,DTR,7.236179648293545
leaf_shed,M,precip_monthly,Precipitation,7.866795974806587
leaf_shed,M,is_MO,System,0.0
leaf_shed,M,is_cresc,Phase (growth),0.4691937079531734
