Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,0.612,0.671,1.099,1.107,1.13
Nov 2003,0.487,0.71,1.074,1.114,1.108
Jan 2004,0.54,0.637,1.022,1.052,1.075
Mar 2004,0.636,0.64,0.91,1.06,1.103
May 2004,0.626,0.753,1.075,1.118,1.113
Jul 2004,0.627,0.827,1.072,1.084,1.143
Sep 2004,0.771,0.776,0.848,0.946,1.139
Nov 2004,0.494,0.53,0.827,1.008,1.153
Jan 2005,0.525,0.577,0.541,0.937,1.152
Mar 2005,0.645,0.657,0.519,0.792,1.139
May 2005,0.683,0.744,0.721,0.846,1.177
