Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,107.8,168.7,1349.1,1474.4,1489.6
Nov 2003,72.9,82.5,1430.5,1832.5,1882.8
Jan 2004,87.7,72.2,1193.6,1577.5,1748.2
Mar 2004,65.5,77.1,544.6,1060.9,1362.7
May 2004,17.8,30.0,362.4,538.1,746.0
Jul 2004,35.5,73.1,546.3,975.5,1132.9
Sep 2004,76.3,123.7,281.2,763.2,1395.3
Nov 2004,60.2,103.0,219.9,543.5,1720.1
Jan 2005,79.8,75.4,489.4,634.4,1072.0
Mar 2005,42.8,51.3,179.2,404.0,896.2
May 2005,44.9,61.1,56.7,184.5,448.2
