Obs,Folha,Ep_Emissao,Tipo,Planta,Sexo,Galho,Ep_Medicao,Idade,A,gs,E,PPFD,Ta,Tl,IdadeE,Estacoes,environment,period_label,WUE,iWUE,LUE,deltaT,bio_unit,time_idx
534,75,3,sol,22,M,3,6,7,3.8145000000000002,0.238025,2.275,93.52,17.35,16.9175,Madura,inverno,MO,May 2004,1.6767032967032969,16.02562756013024,0.04078806672369547,-0.432500000000001,22_3,11
535,75,3,sol,22,M,3,7,9,0.6053000000000001,0.157525,2.325,23.1225,21.925,20.6275,Madura,inverno,MO,Jul 2004,0.2603440860215054,3.842564672274243,0.026177965185425454,-1.2974999999999994,22_3,13
536,75,3,sol,22,M,3,8,11,1.937,0.046224999999999995,2.0,1774.0,28.39,31.79,Madura,primavera,MO,Sep 2004,0.9685,41.903731746890216,0.0010918827508455467,3.3999999999999986,22_3,15
537,76,3,sol,23,M,1,3,1,9.5935,0.194875,1.86,232.7,26.6725,27.4875,Jovem,primavera,MO,Nov 2003,5.1577956989247316,49.228992944195,0.041226901590030084,0.8150000000000013,23_3,5
538,76,3,sol,23,M,1,4,3,13.7725,0.40652499999999997,6.8,424.375,30.8,31.9475,Jov_Madura,verao,MO,Jan 2004,2.0253676470588236,33.87860525182953,0.03245360824742268,1.1475000000000009,23_3,7
539,76,3,sol,23,M,1,5,5,4.843,0.317675,3.0875,134.8,23.8375,23.1475,Madura,outono,MO,Mar 2004,1.568582995951417,15.245140473754624,0.03592729970326409,-0.6899999999999977,23_3,9
540,76,3,sol,23,M,1,6,7,4.60025,0.20980000000000001,1.45,102.8,16.6825,15.815,Madura,inverno,MO,May 2004,3.172586206896552,21.92683508102955,0.044749513618677045,-0.8675000000000015,23_3,11
541,76,3,sol,23,M,1,7,9,5.1345,0.21180000000000002,2.35,1397.0,15.7525,17.5,Madura,inverno,MO,Jul 2004,2.1848936170212765,24.242209631728045,0.0036753758052970654,1.7475000000000005,23_3,13
542,76,3,sol,23,M,1,8,11,5.166,0.10830000000000001,2.7,87.28,24.4525,24.3175,Madura,primavera,MO,Sep 2004,1.9133333333333333,47.70083102493075,0.05918881759853346,-0.13500000000000156,23_3,15
543,77,3,sol,23,M,2,3,1,10.9425,0.1685,2.4075,1628.0,28.205,28.9075,Jovem,primavera,MO,Nov 2003,4.545171339563863,64.9406528189911,0.006721437346437347,0.7025000000000006,23_3,5
544,77,3,sol,23,M,2,4,3,13.06,0.314625,7.1,677.3,34.0325,34.7975,Jov_Madura,verao,MO,Jan 2004,1.83943661971831,41.50973381009138,0.01928244500221468,0.7650000000000006,23_3,7
545,77,3,sol,23,M,2,5,5,4.23575,0.33038799999999996,2.7,58.035,24.4975,23.7075,Madura,outono,MO,Mar 2004,1.5687962962962962,12.820532222719956,0.07298612906004998,-0.7899999999999991,23_3,9
546,77,3,sol,23,M,2,6,7,3.517,0.29685,1.55,60.605,17.99,17.0725,Madura,inverno,MO,May 2004,2.269032258064516,11.847734546067036,0.05803151555152215,-0.9174999999999969,23_3,11
547,77,3,sol,23,M,2,7,9,5.05925,0.1063,2.425,387.293,16.095,15.165,Madura,inverno,MO,Jul 2004,2.0862886597938144,47.59407337723424,0.013063107259878179,-0.9299999999999997,23_3,13
548,77,3,sol,23,M,2,8,11,2.9995,0.089225,2.35,74.75,26.5525,25.325,Madura,primavera,MO,Sep 2004,1.2763829787234042,33.6172597366209,0.040127090301003344,-1.2274999999999991,23_3,15
549,78,3,sol,23,M,3,3,1,8.29975,0.17377499999999999,2.4375,559.25,28.3425,29.21,Jovem,primavera,MO,Nov 2003,3.4050256410256408,47.761473169328156,0.014840858292355832,0.8674999999999997,23_3,5
550,78,3,sol,23,M,3,4,3,12.92,0.30167499999999997,7.6,1048.57,34.89,35.4025,Jov_Madura,verao,MO,Jan 2004,1.7000000000000002,42.82754620038121,0.012321542672401462,0.5125000000000028,23_3,7
551,78,3,sol,23,M,3,5,5,2.64525,0.2817,3.1625,56.7925,25.03,24.0525,Madura,outono,MO,Mar 2004,0.8364426877470356,9.390308839190627,0.04657745300875996,-0.9775000000000027,23_3,9
552,78,3,sol,23,M,3,6,7,2.36475,0.17295000000000002,1.6,22.67,19.01,18.3275,Madura,inverno,MO,May 2004,1.4779687499999998,13.673026886383346,0.10431186590207321,-0.682500000000001,23_3,11
553,78,3,sol,23,M,3,7,9,5.86625,0.152975,1.15,82.9625,16.045,15.8025,Madura,inverno,MO,Jul 2004,5.10108695652174,38.347769243340416,0.0707096579780021,-0.2425000000000015,23_3,13
554,78,3,sol,23,M,3,8,11,4.617,0.1557,3.6,79.95,25.8875,24.3875,Madura,primavera,MO,Sep 2004,1.2825,29.653179190751445,0.05774859287054409,-1.5,23_3,15
555,79,3,sol,24,M,1,3,1,6.5665000000000004,0.236925,5.7,1658.25,28.145,31.78,Jovem,primavera,MO,Nov 2003,1.1520175438596492,27.715521789595865,0.003959897482285543,3.6350000000000016,24_3,5
556,79,3,sol,24,M,1,4,3,2.62675,0.06275,1.55,943.875,26.745,28.59,Jov_Madura,verao,MO,Jan 2004,1.6946774193548386,41.8605577689243,0.0027829426566017743,1.8449999999999989,24_3,7
557,79,3,sol,24,M,1,5,5,4.28325,0.274675,3.4375,127.467,28.015,27.205,Madura,outono,MO,Mar 2004,1.2460363636363636,15.593883680713569,0.03360281484619548,-0.8100000000000023,24_3,9
558,79,3,sol,24,M,1,6,7,3.00525,0.256875,2.75,48.0275,18.77,18.315,Madura,inverno,MO,May 2004,1.092818181818182,11.6992700729927,0.06257352558430065,-0.4549999999999983,24_3,11
559,79,3,sol,24,M,1,7,9,6.0185,0.2516,2.25,219.385,17.9675,17.1625,Madura,inverno,MO,Jul 2004,2.674888888888889,23.92090620031797,0.02743350730451034,-0.8049999999999997,24_3,13
560,79,3,sol,24,M,1,8,11,5.35675,0.20075,4.575,61.875,25.6425,26.2325,Madura,primavera,MO,Sep 2004,1.1708743169398907,26.68368617683686,0.08657373737373737,0.5900000000000034,24_3,15
561,80,3,sol,24,M,2,3,1,11.8713,0.1648,1.85,930.65,27.0975,27.675,Jovem,primavera,MO,Nov 2003,6.416918918918919,72.03458737864078,0.012755923279428356,0.5775000000000006,24_3,5
562,80,3,sol,24,M,2,4,3,18.725,0.42475,7.35,1057.5,27.43,28.03,Jov_Madura,verao,MO,Jan 2004,2.547619047619048,44.084755738669806,0.017706855791962177,0.6000000000000014,24_3,7
563,80,3,sol,24,M,2,5,5,6.07275,0.335588,3.4,90.7925,25.8525,25.2925,Madura,outono,MO,Mar 2004,1.7861029411764706,18.09584967281309,0.06688603133518738,-0.5599999999999987,24_3,9
564,80,3,sol,24,M,2,6,7,9.976,0.3216,3.4,263.95,20.6275,20.09,Madura,inverno,MO,May 2004,2.934117647058824,31.01990049751244,0.037795036938814176,-0.5375000000000014,24_3,11
565,80,3,sol,24,M,2,7,9,15.3275,0.3613,4.4,1596.0,20.445,21.89,Madura,inverno,MO,Jul 2004,3.483522727272727,42.42319402158871,0.009603696741854637,1.4450000000000003,24_3,13
566,80,3,sol,24,M,2,8,11,12.0925,0.24805000000000002,5.5,1840.75,26.235,26.885,Madura,primavera,MO,Sep 2004,2.1986363636363637,48.75025196532956,0.006569333152247725,0.6500000000000021,24_3,15
567,80,3,sol,24,M,2,9,13,2.35225,0.246025,5.275,61.24,28.2075,26.225,Velha,primavera,MO,Nov 2004,0.4459241706161137,9.561020221522204,0.03841035271064664,-1.9824999999999982,24_3,17
568,80,3,sol,24,M,2,10,15,1.935,0.12205,3.525,72.8775,36.7975,35.6,Velha,verao,MO,Jan 2005,0.548936170212766,15.85415813191315,0.026551404754553875,-1.197499999999998,24_3,19
569,81,3,sol,24,M,3,3,1,12.3525,0.170575,2.00625,1618.5,26.97,27.6025,Jovem,primavera,MO,Nov 2003,6.157009345794392,72.41682544335336,0.00763206672845227,0.6325000000000003,24_3,5
570,81,3,sol,24,M,3,4,3,18.1775,0.43945000000000006,7.275,692.775,27.73,27.8625,Jov_Madura,verao,MO,Jan 2004,2.498625429553264,41.364205256570706,0.02623867778138645,0.13250000000000028,24_3,7
571,81,3,sol,24,M,3,5,5,6.45975,0.260388,2.6625,122.2,27.8625,27.13,Madura,outono,MO,Mar 2004,2.4261971830985916,24.80817088345085,0.05286211129296235,-0.7325000000000017,24_3,9
572,81,3,sol,24,M,3,6,7,3.88825,0.221738,4.025,58.84,20.2675,19.3575,Madura,inverno,MO,May 2004,0.9660248447204969,17.535334493862127,0.06608174711080897,-0.9099999999999966,24_3,11
573,81,3,sol,24,M,3,7,9,0.6819000000000001,0.1907,1.45,26.78,17.96,16.83,Madura,inverno,MO,Jul 2004,0.4702758620689656,3.575773466177242,0.025463032113517553,-1.1300000000000026,24_3,13
574,81,3,sol,24,M,3,8,11,3.4715,0.169625,3.55,148.077,25.2225,23.8525,Madura,primavera,MO,Sep 2004,0.977887323943662,20.465733235077376,0.023443883925255104,-1.370000000000001,24_3,15
575,81,3,sol,24,M,3,9,13,1.427,0.17682499999999998,4.4,139.768,28.78,27.36,Velha,primavera,MO,Nov 2004,0.3243181818181818,8.0701258306235,0.01020977620056093,-1.4200000000000017,24_3,17
576,81,3,sol,24,M,3,10,15,1.0612,0.10885,3.45,46.01,36.0925,34.925,Velha,verao,MO,Jan 2005,0.30759420289855066,9.749196141479098,0.023064551184525103,-1.167500000000004,24_3,19
577,82,3,sol,25,F,1,3,1,5.69525,0.23090000000000002,5.175,1253.32,27.9125,31.0625,Jovem,primavera,MO,Nov 2003,1.1005314009661835,24.665439584235596,0.004544130788625411,3.1499999999999986,25_3,5
578,82,3,sol,25,F,1,4,3,3.792,0.1537,3.15,102.255,27.67,26.9875,Jov_Madura,verao,MO,Jan 2004,1.2038095238095239,24.671437865972674,0.03708376118527212,-0.682500000000001,25_3,7
579,82,3,sol,25,F,1,5,5,2.4665,0.189725,2.7375,68.1875,28.9975,28.485,Madura,outono,MO,Mar 2004,0.9010045662100457,13.000395308999867,0.03617231897341888,-0.5124999999999993,25_3,9
580,82,3,sol,25,F,1,6,7,6.39425,0.22075000000000003,4.375,152.675,19.345,18.7775,Madura,inverno,MO,May 2004,1.4615428571428573,28.966024915062285,0.041881447519240216,-0.567499999999999,25_3,11
581,82,3,sol,25,F,1,7,9,1.80775,0.14930000000000002,1.4,332.332,19.3725,18.86,Madura,inverno,MO,Jul 2004,1.29125,12.108171466845276,0.005439590529951976,-0.5124999999999993,25_3,13
582,82,3,sol,25,F,1,8,11,3.8605,0.119475,3.0,25.6,26.69,25.7975,Madura,primavera,MO,Sep 2004,1.2868333333333333,32.31219920485457,0.15080078125,-0.8925000000000018,25_3,15
583,82,3,sol,25,F,1,9,13,1.822,0.218075,5.8,37.9,30.62,29.5525,Velha,primavera,MO,Nov 2004,0.3141379310344828,8.354923764759832,0.048073878627968344,-1.0675000000000026,25_3,17
584,82,3,sol,25,F,1,10,15,2.305,0.103033,3.16667,62.84,35.28,34.2867,Velha,verao,MO,Jan 2005,0.7278939706379257,22.371473217318727,0.03668045830681095,-0.9932999999999979,25_3,19
585,83,3,sol,25,F,2,3,1,10.2522,0.167925,2.415,1134.13,29.17,29.55,Jovem,primavera,MO,Nov 2003,4.245217391304348,61.0522554711925,0.009039704443053265,0.379999999999999,25_3,5
586,83,3,sol,25,F,2,4,3,9.0495,0.32032499999999997,4.5,171.425,27.8575,26.8025,Jov_Madura,verao,MO,Jan 2004,2.011,28.25099508311871,0.052789849788537256,-1.0550000000000033,25_3,7
587,83,3,sol,25,F,2,5,5,8.87675,0.26858699999999996,5.875,123.375,28.9625,28.64,Madura,outono,MO,Mar 2004,1.510936170212766,33.04981253746458,0.07194934143870314,-0.322499999999998,25_3,9
588,83,3,sol,25,F,2,6,7,5.67525,0.183725,3.725,215.625,19.0775,18.8325,Madura,inverno,MO,May 2004,1.5235570469798658,30.889916995509594,0.02632,-0.245000000000001,25_3,11
589,83,3,sol,25,F,2,7,9,2.901,0.17445000000000002,2.275,38.225,18.1325,17.8875,Madura,inverno,MO,Jul 2004,1.275164835164835,16.629406706792775,0.075892740353172,-0.245000000000001,25_3,13
590,83,3,sol,25,F,2,8,11,3.30875,0.12542499999999998,3.6,34.6075,28.0075,27.655,Madura,primavera,MO,Sep 2004,0.9190972222222221,26.380306956348416,0.09560788846348334,-0.35249999999999915,25_3,15
591,84,3,sol,25,F,3,3,1,7.9565,0.23120000000000002,2.205,1756.0,28.93,28.1825,Jovem,primavera,MO,Nov 2003,3.608390022675737,34.41392733564014,0.004531036446469248,-0.7474999999999987,25_3,5
592,84,3,sol,25,F,3,4,3,10.0925,0.2451,5.525,635.025,27.935,28.4075,Jov_Madura,verao,MO,Jan 2004,1.8266968325791852,41.17707058343533,0.015893075075784416,0.47250000000000014,25_3,7
593,84,3,sol,25,F,3,5,5,5.1755,0.332038,5.875,103.01,29.6725,28.6475,Madura,outono,MO,Mar 2004,0.880936170212766,15.58707135930225,0.05024269488399185,-1.0249999999999986,25_3,9
594,84,3,sol,25,F,3,6,7,4.1965,0.221512,3.475,117.625,18.225,17.3225,Madura,inverno,MO,May 2004,1.2076258992805755,18.94479757304345,0.035676939426142404,-0.9024999999999999,25_3,11
595,85,3,sol,26,M,1,3,1,8.2315,0.40440000000000004,0.975,1718.75,30.3225,33.265,Jovem,primavera,MO,Nov 2003,8.442564102564104,20.35484668644906,0.004789236363636364,2.942499999999999,26_3,5
596,85,3,sol,26,M,1,4,3,17.325,0.40140000000000003,6.6,1622.0,28.9075,30.1325,Jov_Madura,verao,MO,Jan 2004,2.625,43.16143497757847,0.01068125770653514,1.2250000000000014,26_3,7
597,85,3,sol,26,M,1,5,5,5.82125,0.2687,3.4,405.45,28.58,28.2175,Madura,outono,MO,Mar 2004,1.7121323529411765,21.664495720133978,0.014357504007892466,-0.36249999999999716,26_3,9
598,85,3,sol,26,M,1,6,7,3.142,0.283863,2.45,120.7,17.6675,16.6475,Madura,inverno,MO,May 2004,1.2824489795918366,11.068719769748084,0.026031483015741506,-1.0199999999999996,26_3,11
599,85,3,sol,26,M,1,7,9,7.73225,0.2553,3.475,1056.75,17.6725,17.7725,Madura,inverno,MO,Jul 2004,2.225107913669065,30.28691735213474,0.007317009699550508,0.10000000000000142,26_3,13
600,85,3,sol,26,M,1,8,11,5.43025,0.20950000000000002,6.425,425.0,29.8125,29.4175,Madura,primavera,MO,Sep 2004,0.8451750972762646,25.920047732696894,0.012777058823529412,-0.3949999999999996,26_3,15
601,86,3,sol,26,M,2,3,1,8.14825,0.410625,4.485,1828.0,29.7925,32.57,Jovem,primavera,MO,Nov 2003,1.8167781493868451,19.84353120243531,0.004457467177242889,2.7775,26_3,5
602,86,3,sol,26,M,2,4,3,10.3525,0.23632499999999998,5.9,1711.0,28.68,31.065,Jov_Madura,verao,MO,Jan 2004,1.7546610169491523,43.80619909023591,0.006050555230859146,2.3850000000000016,26_3,7
603,86,3,sol,26,M,2,5,5,5.34725,0.266513,3.575,285.1,28.56,28.1525,Madura,outono,MO,Mar 2004,1.4957342657342656,20.063749235496953,0.018755699754472114,-0.40749999999999886,26_3,9
604,86,3,sol,26,M,2,6,7,6.9805,0.290975,5.0,193.475,18.495,17.7025,Madura,inverno,MO,May 2004,1.3961000000000001,23.99003350803334,0.03607959684713787,-0.7925000000000004,26_3,11
605,86,3,sol,26,M,2,7,9,6.44925,0.285225,3.675,224.65,17.7075,17.805,Madura,inverno,MO,Jul 2004,1.7548979591836735,22.61109650276098,0.028707990206988648,0.09750000000000014,26_3,13
606,87,3,sol,26,M,3,3,1,3.82875,0.1725,2.41875,301.372,29.685,28.8,Jovem,primavera,MO,Nov 2003,1.5829457364341084,22.195652173913043,0.012704398550628458,-0.884999999999998,26_3,5
607,87,3,sol,26,M,3,4,3,2.77175,0.191125,3.45,61.7225,28.4575,27.6625,Jov_Madura,verao,MO,Jan 2004,0.8034057971014492,14.502289077828646,0.04490663858398477,-0.7949999999999982,26_3,7
608,87,3,sol,26,M,3,5,5,1.9717500000000001,0.170762,2.1375,5.25925,27.205,26.92,Madura,outono,MO,Mar 2004,0.9224561403508772,11.546772701186448,0.3749108713219566,-0.2849999999999966,26_3,9
609,87,3,sol,26,M,3,6,7,3.27225,0.104737,3.8,63.415,18.8175,18.2225,Madura,inverno,MO,May 2004,0.8611184210526317,31.242540840390696,0.05160056768903257,-0.5949999999999989,26_3,11
610,87,3,sol,26,M,3,7,9,3.3845,0.11040000000000001,1.55,297.325,16.3325,16.435,Madura,inverno,MO,Jul 2004,2.1835483870967742,30.656702898550723,0.011383166568569747,0.10249999999999915,26_3,13
611,87,3,sol,26,M,3,8,11,7.1785,0.20232499999999998,7.475,1628.25,31.3925,32.43,Madura,primavera,MO,Sep 2004,0.9603344481605351,35.48004448288645,0.004408721019499463,1.0375000000000014,26_3,15
612,87,3,sol,26,M,3,9,13,2.47825,0.1504,6.6,220.997,34.7125,34.8925,Velha,primavera,MO,Nov 2004,0.3754924242424243,16.477726063829788,0.011213953130585482,0.17999999999999972,26_3,17
613,87,3,sol,26,M,3,10,15,8.5525,0.162625,6.15,1399.2,34.28,36.2625,Velha,verao,MO,Jan 2005,1.390650406504065,52.590315142198314,0.006112421383647799,1.9825000000000017,26_3,19
614,88,3,sol,27,M,1,3,1,9.0285,0.21480000000000002,1.1225,999.15,30.0275,29.5425,Jovem,primavera,MO,Nov 2003,8.043207126948774,42.032122905027926,0.009036180753640594,-0.48499999999999943,27_3,5
615,88,3,sol,27,M,1,4,3,11.7775,0.35529499999999997,1.8525,90.3275,28.1575,27.3375,Jov_Madura,verao,MO,Jan 2004,6.3576248313090415,33.1485103927722,0.13038664858431817,-0.8200000000000003,27_3,7
616,88,3,sol,27,M,1,5,5,3.60625,0.303,2.4375,14.0533,26.9125,26.07,Madura,outono,MO,Mar 2004,1.4794871794871796,11.901815181518153,0.2566123259305644,-0.8425000000000011,27_3,9
617,88,3,sol,27,M,1,6,7,3.3335,0.213825,2.2,59.73,17.0025,16.5875,Madura,inverno,MO,May 2004,1.5152272727272726,15.589851514088624,0.05580947597522183,-0.4150000000000027,27_3,11
618,88,3,sol,27,M,1,7,9,2.77475,0.166125,2.075,36.57,17.085,17.1875,Madura,inverno,MO,Jul 2004,1.3372289156626505,16.70278404815651,0.07587503418102269,0.10249999999999915,27_3,13
619,88,3,sol,27,M,1,8,11,3.7215000000000003,0.24492499999999998,6.725,78.795,30.3,28.0375,Madura,primavera,MO,Sep 2004,0.5533828996282528,15.194447279779526,0.047230154197601376,-2.2624999999999993,27_3,15
620,88,3,sol,27,M,1,9,13,2.8495,0.2514,6.625,54.5275,31.09,29.335,Velha,primavera,MO,Nov 2004,0.4301132075471698,11.334526650755766,0.05225803493649993,-1.754999999999999,27_3,17
621,88,3,sol,27,M,1,10,15,2.62225,0.03105,0.5,80.345,32.49,32.0125,Velha,verao,MO,Jan 2005,5.2445,84.4524959742351,0.032637376314643106,-0.47749999999999915,27_3,19
622,89,3,sol,27,M,2,3,1,7.67075,0.248825,1.473,213.4,30.355,28.8125,Jovem,primavera,MO,Nov 2003,5.207569585879158,30.827891088114136,0.03594540768509841,-1.5425000000000004,27_3,5
623,89,3,sol,27,M,2,4,3,9.747,0.29805000000000004,5.975,597.525,28.115,27.77,Jov_Madura,verao,MO,Jan 2004,1.6312970711297072,32.70256668344237,0.016312288188778713,-0.34499999999999886,27_3,7
624,89,3,sol,27,M,2,5,5,6.57033,0.207958,3.06667,315.133,27.9467,27.7533,Madura,outono,MO,Mar 2004,2.1424965842428434,31.594504659594726,0.02084938740150984,-0.19340000000000046,27_3,9
625,89,3,sol,27,M,2,6,7,2.5945,0.5951000000000001,2.9,82.61,17.675,16.97,Madura,inverno,MO,May 2004,0.8946551724137931,4.359771466980339,0.031406609369325746,-0.7050000000000018,27_3,11
626,89,3,sol,27,M,2,7,9,1.08627,0.226825,2.65,83.8475,16.24,16.34,Madura,inverno,MO,Jul 2004,0.40991320754716987,4.789022374076932,0.01295530576343958,0.10000000000000142,27_3,13
627,89,3,sol,27,M,2,8,11,3.591,0.17685,5.575,194.85,30.38,29.6925,Madura,primavera,MO,Sep 2004,0.6441255605381166,20.30534351145038,0.01842956120092379,-0.6875,27_3,15
628,89,3,sol,27,M,2,9,13,1.76925,0.30625,4.41,38.385,30.76,29.565,Velha,primavera,MO,Nov 2004,0.40119047619047615,5.777142857142857,0.04609222352481438,-1.1950000000000003,27_3,17
629,89,3,sol,27,M,2,10,15,8.6895,0.275675,6.325,77.735,34.535,33.6625,Velha,verao,MO,Jan 2005,1.3738339920948617,31.520812551011158,0.11178362385026051,-0.8724999999999952,27_3,19
630,90,3,sol,27,M,3,3,1,12.5347,0.297775,1.716,302.375,29.7325,29.46,Jovem,primavera,MO,Nov 2003,7.3046037296037305,42.094534463940896,0.04145415460934271,-0.27250000000000085,27_3,5
631,90,3,sol,27,M,3,4,3,16.5375,0.338925,5.0,282.823,28.415,27.375,Jov_Madura,verao,MO,Jan 2004,3.3075,48.79398096924099,0.058472967191494335,-1.0399999999999991,27_3,7
632,90,3,sol,27,M,3,5,5,6.49125,0.23175,4.2375,98.3875,27.4925,27.09,Madura,outono,MO,Mar 2004,1.5318584070796462,28.009708737864077,0.06597636894930758,-0.40249999999999986,27_3,9
633,90,3,sol,27,M,3,6,7,6.78925,0.220825,2.725,136.875,18.36,18.1325,Madura,inverno,MO,May 2004,2.491467889908257,30.7449337710857,0.049601826484018265,-0.22749999999999915,27_3,11
634,90,3,sol,27,M,3,7,9,3.21725,0.184725,2.5,258.432,17.155,17.26,Madura,inverno,MO,Jul 2004,1.2869,17.416429828122887,0.012449116208519068,0.10500000000000043,27_3,13
635,90,3,sol,27,M,3,8,11,1.91125,0.1781,6.925,1830.0,32.2925,32.265,Madura,primavera,MO,Sep 2004,0.2759927797833935,10.731330713082537,0.001044398907103825,-0.027499999999996305,27_3,15
636,91,3,sol,28,M,1,3,1,11.088,0.17302499999999998,1.0925,1985.5,30.1225,31.865,Jovem,primavera,MO,Nov 2003,10.149199084668192,64.08322496749025,0.005584487534626039,1.7424999999999997,28_3,5
637,91,3,sol,28,M,1,4,3,13.515,0.33197499999999996,6.25,431.425,29.3425,29.6675,Jov_Madura,verao,MO,Jan 2004,2.1624,40.71089690488742,0.031326418265051864,0.3249999999999993,28_3,7
638,91,3,sol,28,M,1,5,5,6.34075,0.25568799999999997,4.425,42.9225,27.015,26.19,Madura,outono,MO,Mar 2004,1.4329378531073447,24.79877819842934,0.14772555186673655,-0.8249999999999993,28_3,9
639,91,3,sol,28,M,1,6,7,3.9295,0.23615000000000003,2.525,108.238,18.345,17.595,Madura,inverno,MO,May 2004,1.5562376237623763,16.63984755452043,0.036304255437092335,-0.75,28_3,11
640,91,3,sol,28,M,1,7,9,0.9329000000000001,0.065275,0.85,20.44,13.015,13.11,Madura,inverno,MO,Jul 2004,1.097529411764706,14.291842206051323,0.045640900195694716,0.09499999999999886,28_3,13
641,91,3,sol,28,M,1,8,11,2.676,0.09095,1.9,39.835,24.4775,24.105,Madura,primavera,MO,Sep 2004,1.408421052631579,29.422759758108853,0.06717710556043681,-0.3724999999999987,28_3,15
642,92,3,sol,28,M,2,3,1,10.445,0.181925,2.3265000000000002,1461.5,30.4475,31.235,Jovem,primavera,MO,Nov 2003,4.4895766172361915,57.413769410471346,0.007146767020184742,0.7874999999999979,28_3,5
643,92,3,sol,28,M,2,4,3,12.425,0.40195000000000003,6.6,700.025,29.715,29.4475,Jov_Madura,verao,MO,Jan 2004,1.8825757575757578,30.911804950864536,0.017749366094068072,-0.2674999999999983,28_3,7
644,92,3,sol,28,M,2,5,5,7.02725,0.323563,3.5,202.125,26.84,26.495,Madura,outono,MO,Mar 2004,2.0077857142857143,21.71833615091961,0.03476685219542363,-0.34499999999999886,28_3,9
645,92,3,sol,28,M,2,6,7,3.00925,0.140375,2.325,330.2,20.335,20.005,Madura,inverno,MO,May 2004,1.294301075268817,21.437221727515585,0.009113416111447609,-0.33000000000000185,28_3,11
646,93,3,sol,28,M,3,3,1,13.4833,0.202233,2.45,1157.9,29.7333,31.3133,Jovem,primavera,MO,Nov 2003,5.5033877551020405,66.67210593721104,0.011644615251748855,1.5800000000000018,28_3,5
647,93,3,sol,28,M,3,4,3,16.59,0.31327499999999997,6.25,1594.5,30.135,30.75,Jov_Madura,verao,MO,Jan 2004,2.6544,52.95666746468758,0.010404515522107244,0.6149999999999984,28_3,7
648,93,3,sol,28,M,3,5,5,7.51475,0.318563,4.425,272.625,27.1475,26.5775,Madura,outono,MO,Mar 2004,1.6982485875706217,23.589525462781303,0.027564419990829897,-0.5700000000000003,28_3,9
649,93,3,sol,28,M,3,6,7,11.565,0.21480000000000002,3.775,1260.75,21.8625,23.0625,Madura,inverno,MO,May 2004,3.063576158940397,53.84078212290502,0.009173111243307554,1.1999999999999993,28_3,11
650,93,3,sol,28,M,3,7,9,2.13725,0.09697499999999999,1.1,1574.5,15.075,15.17,Madura,inverno,MO,Jul 2004,1.9429545454545452,22.039185357050787,0.0013574150523975865,0.09500000000000064,28_3,13
651,94,3,sol,29,M,1,3,1,10.725,0.211675,2.07,1480.45,30.6675,30.93,Jovem,primavera,MO,Nov 2003,5.181159420289855,50.66729656312744,0.007244418926677699,0.2624999999999993,29_3,5
652,94,3,sol,29,M,1,4,3,11.9715,0.3456,5.7,171.0,30.2525,29.6025,Jov_Madura,verao,MO,Jan 2004,2.100263157894737,34.63975694444444,0.07000877192982456,-0.6500000000000021,29_3,7
653,94,3,sol,29,M,1,5,5,1.68202,0.348875,4.8875,54.1625,26.58,25.6325,Madura,outono,MO,Mar 2004,0.3441473145780051,4.8212683625940524,0.03105506577429033,-0.947499999999998,29_3,9
654,94,3,sol,29,M,1,6,7,1.56325,0.222075,2.475,44.9775,19.65,18.485,Madura,inverno,MO,May 2004,0.6316161616161616,7.039288528650231,0.03475626702240009,-1.1649999999999991,29_3,11
655,94,3,sol,29,M,1,7,9,0.6143500000000001,0.036125,0.65,1358.0,16.005,16.1,Madura,inverno,MO,Jul 2004,0.9451538461538462,17.006228373702424,0.0004523932253313697,0.09500000000000242,29_3,13
656,94,3,sol,29,M,1,8,11,3.6565,0.0516,1.85,1530.0,28.0525,31.99,Madura,primavera,MO,Sep 2004,1.9764864864864864,70.8624031007752,0.0023898692810457515,3.9375,29_3,15
657,95,3,sol,29,M,2,3,1,9.6975,0.16240000000000002,3.3825,581.35,31.235,32.97,Jovem,primavera,MO,Nov 2003,2.8669623059866964,59.71366995073891,0.01668100111808721,1.7349999999999994,29_3,5
658,95,3,sol,29,M,2,4,3,12.795,0.3068,6.5,125.575,30.45,30.3,Jov_Madura,verao,MO,Jan 2004,1.9684615384615385,41.70469361147327,0.10189130001990841,-0.14999999999999858,29_3,7
659,95,3,sol,29,M,2,5,5,2.81375,0.153075,2.45,77.555,26.4425,25.5725,Madura,outono,MO,Mar 2004,1.148469387755102,18.38151233055692,0.03628070401650441,-0.8699999999999974,29_3,9
660,95,3,sol,29,M,2,6,7,4.4935,0.162025,2.625,960.7,21.7625,21.66,Madura,inverno,MO,May 2004,1.711809523809524,27.73337447924703,0.004677318621838243,-0.10249999999999915,29_3,11
661,95,3,sol,29,M,2,7,9,0.7319,0.517475,0.225,1106.25,15.23,15.3275,Madura,inverno,MO,Jul 2004,3.2528888888888887,1.4143678438571912,0.0006616045197740113,0.09750000000000014,29_3,13
662,95,3,sol,29,M,2,8,11,1.32915,0.032575,0.65,351.205,26.34,25.2975,Madura,primavera,MO,Sep 2004,2.0448461538461538,40.80276285495012,0.003784541791830982,-1.0425000000000004,29_3,15
663,96,3,sol,29,M,3,3,1,7.59975,0.171475,2.66,1006.63,31.485,33.54,Jovem,primavera,MO,Nov 2003,2.8570488721804512,44.31987170141421,0.007549695518710947,2.0549999999999997,29_3,5
