plant_id,axis_id,environment,sex,obs,time_idx,year,GDD,Tmax,Tmin,night_hours,precip_monthly,DTR,PAR_midday,DLI,RFR_midday,PAR_morning,PAR_afternoon,RFR_morning,RFR_afternoon,is_cresc,phase_3class,phase_label,elongation,metamer_emission,leaf_increase,leaf_area_increase,leaf_shed,is_male,is_MO
1,P1_MO_G1,MO,F,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G2,MO,F,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G3,MO,F,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_FUS_G1,FUS,M,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_FUS_G2,FUS,M,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_FUS_G3,FUS,M,O1,0,1,254.5,19.57,12.57,13.576666666666666,124.8,7.6,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_MO_G1,MO,F,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G2,MO,F,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G3,MO,F,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_FUS_G1,FUS,M,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.5,3.0,3.0,2.21,0.0,1,0
