observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,6,0,0,6,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,2,0.91,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,5.2,16,7,50.99,9,3.5,11,7,61.61,4,0,0,0,0,0,10,8,8,167.14,0,7.9,11,5,42.02,6,14.5,12,8,121.91,4
O7,23/10/03,18.6,7,5,538.04,2,20.7,7,7,490.09,0,23.1,21,12,363.19,9,25,8,8,825.63,0,21.5,6,6,528.48,0,16.3,3,3,481.45,0
O9,22/11/03,10,4,4,392.51,0,22.3,10,10,790.2,0,17.8,2,2,382.65,0,7.3,1,1,931.06,0,2.7,0,-1,478.03,1,2.5,1,1,274.25,0
O10,15/12/03,0,0,0,0,0,3.9,8,5,128.6,3,13.6,22,1,48.34,21,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0
O12,19/01/04,0.2,0,0,22.75,0,29.9,17,16,452.85,1,23.6,6,5,142,1,30,13,10,155.95,3,0,0,0,0,0,0,0,0,0,0
O13,09/02/04,0,0,0,0,0,13,10,6,45.06,4,22.7,18,9,179,9,21.8,8,7,513.8,1,0,0,0,0,0,0,0,0,0,0
O15,22/03/04,10.6,12,12,252.65,0,9.6,10,7,267.34,3,16.8,15,2,273.7,13,18.9,10,9,1198.24,1,8.6,6,6,372,0,4.9,6,5,152.55,1
O17,21/04/04,3.1,1,1,37,0,1.5,0,0,19.19,0,0.5,0,-1,26.85,1,0.5,0,0,47,0,0,0,0,12,0,0,0,0,13,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-9,-349.9,9,0,0,0,0,0,0,0,-8,-315.6,8,0,0,0,0,0,0,0,-3,-31.31,3
O20,15/07/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-663.24,5,0,0,-2,-79.75,2,0,0,-1,-73.8,1
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0.9,9,0,0,9,1.9,12,5,12,7,1,6,0,0,6,2.2,9,4,-71.96,5,1.1,9,0,-463.92,9,0,0,-2,-104.55,2
O24,18/10/04,5.5,5,4,153.05,1,22.4,10,10,-549.44,0,10.3,13,12,-385.79,1,18.1,7,6,-44.38,1,7.5,2,2,191.12,0,18.9,15,11,282.05,4
O26,17/11/04,6.2,0,0,82.29,0,18.3,0,-2,311.75,2,3.2,0,0,200.88,0,9.7,1,-1,703.29,2,5.7,0,0,388.2,0,9.8,1,0,467,1
O27,06/12/04,0.5,0,0,0,0,1.9,0,0,18.09,0,0.5,0,0,1.87,0,0,0,0,-60.05,0,0.5,0,0,16.7,0,0,0,0,23.5,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,27.1,16,16,371.72,0,0,0,0,0.95,0,8.9,6,6,14.33,0,2.2,3,3,0,0,0,0,0,0,0
O33,25/03/05,0,8,0,0,8,1.9,20,11,51.75,9,0,0,0,0,0,17.2,15,4,228.39,11,0,1,0,0,1,21.5,16,8,457.38,8
O35,26/04/05,0,0,0,0,0,0,21,13,0,8,0,0,0,0,0,13.9,6,6,609.42,0,0,0,0,0,0,0.7,0,0,257.83,0
O37,27/05/05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8,0,0,143.29,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
