observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,11,2.16,3,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,5.9,16,6,26.42,10,9,15,9,89.49,6,0,0,0,0,0,12.3,6,2,152.19,4,0,0,0,0,0,0,0,0,0,0
O7,23/10/03,15.7,8,8,450.56,0,24.6,9,8,566.56,1,8.7,11,7,190.2,4,0.8,1,1,36.84,0,17.5,10,8,306.56,2,11.1,11,7,192.45,4
O9,22/11/03,27.6,16,14,614.01,2,25.3,14,12,923.16,2,4.1,3,3,184.25,0,0,0,0,0,0,6,1,1,455.7,0,0.5,0,0,100.43,0
O10,15/12/03,18.8,13,11,342.65,2,17.5,10,8,346.64,2,1.6,1,1,77,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,4.6,0
O12,19/01/04,40.2,21,19,666,2,41.9,17,17,589.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O13,09/02/04,21.7,16,14,284.72,2,21.7,11,11,182.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,10,0,0,10
O15,22/03/04,10.5,8,8,324.91,0,15.4,9,7,142.66,2,18.4,14,14,602.09,0,0,0,0,0,0,6.7,11,0,0,11,0,0,0,0,0
O17,21/04/04,2.4,3,3,78.25,0,0.4,0,0,3.75,0,6.9,5,5,257.91,0,5.7,3,0,178.76,3,0,0,0,0,0,18,6,5,464.25,1
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-40,-1641.89,40,0,0,-25,-1446.1,25,0,0,-3,-45.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O20,15/07/04,0,0,-2,-61.75,2,0,0,-4,-232.5,4,0,0,0,0,0,0,0,0,0,0,0,0,-2,-57,2,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-80.5,1,0,0,-5,-193.45,5
O24,18/10/04,10.9,25,12,-841.97,13,9.1,23,13,-563.26,10,14.3,20,16,-8.39,4,7.3,15,7,22.6,8,10.1,9,6,84.2,3,10.8,13,4,70.67,9
O26,17/11/04,2.5,2,-4,-68.09,6,6.9,6,4,200.34,2,6.5,2,-2,81.05,4,2.6,1,1,42.3,0,8.8,1,1,221.39,0,3.2,1,1,98.72,0
O27,06/12/04,0,0,0,-100.84,0,0.2,0,0,4.69,0,0.4,0,-4,-159.44,4,0,0,0,2.54,0,0,0,0,33.9,0,0.5,0,0,4.4,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,1,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,9,9,31.38,0
O33,25/03/05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,5,3,247.23,2
O35,26/04/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.18,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
