observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,4,5,50.24,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,-2,74.34,2,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,4.3,13,5,25.91,8,5,18,12,102.45,6,0,0,0,0,0,16,4,-2,117.81,6,0,0,0,0,0,0,0,0,0,0
O7,23/10/03,11.7,9,9,530.08,0,11.7,11,6,494.27,5,18.7,29,20,686,9,9.7,12,12,22.33,0,20,16,6,101.74,10,5.3,9,5,74.5,4
O9,22/11/03,14.8,11,11,523.15,0,15.1,8,8,410.9,0,19.1,11,9,952.45,2,2.4,0,-1,395.81,1,11.1,4,3,287.06,1,0.2,0,-2,49.51,2
O10,15/12/03,0,0,0,10.85,0,1.1,0,0,25.5,0,0.6,1,1,78.7,0,0,0,0,9,0,5.4,6,1,22.9,5,1,0,0,0,0
O12,19/01/04,0,0,0,0,0,26.1,22,7,77.76,15,0.7,0,0,2.5,0,0,0,0,4.25,0,39.5,18,13,210,5,0,0,0,6.99,0
O13,09/02/04,0.1,1,1,31.6,0,12.2,8,7,91.49,1,0.2,1,1,33.5,0,0,0,0,0,0,25.8,8,7,131.2,1,0,0,0,0,0
O15,22/03/04,24.3,24,23,200.49,1,27.3,31,26,338.74,5,0,0,0,0,0,4,0,0,512.25,0,28.8,20,18,388.25,2,7.5,0,0,335.7,0
O17,21/04/04,8.7,9,8,105.13,1,14.6,17,4,95.58,13,8.1,10,3,16.3,7,0,0,0,0,0,18.8,9,8,373,1,0,0,0,0,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-5,-153.89,5,0,0,-23,-983.12,23,0,0,-19,-749.85,19,0,0,-3,-87.7,3,0,0,-14,-493.45,14,0,0,0,0,0
O20,15/07/04,0,0,-1,-50,1,0,0,-2,-170.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,1.7,18,14,8.63,4,0,0,0,0,0,1.91,16,16,3.44,0,0.4,4,4,2.48,0,4.7,13,9,-233.12,4,0,0,0,0,0
O24,18/10/04,2.5,6,4,-373.61,2,2.3,19,11,-225.5,8,5.59,8,8,-1010.6,0,19.3,9,9,195.78,0,25.9,8,8,-13.23,0,6.8,5,3,-121.6,2
O26,17/11/04,12.5,10,8,218.08,2,2.3,6,6,0,0,39.6,9,9,723.33,0,16.3,1,1,718.58,0,3.6,1,1,431.55,0,0.1,0,0,9.92,0
O27,06/12/04,0.6,0,0,36.24,0,0,0,0,0,0,0,0,0,57.46,0,0,0,0,131.3,0,0,0,0,-22.23,0,0,0,0,0.78,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,-1,-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O33,25/03/05,0,0,0,0,0,0,26,16,0,10,9.1,24,18,127.09,6,18.3,16,4,142.15,12,0,0,0,0,0,0,48,0,0,48
O35,26/04/05,0,0,0,0,0,0,1,1,0,0,9.5,6,6,122.92,0,4.7,0,0,317.94,0,0,0,0,0,0,0,0,0,0,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
