observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,8,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,10,4,15.81,6,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15.96,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,3.7,18,6,39.9,12,3.4,10,6,60.04,4,8.3,22,9,107.2,13,38.6,23,4,393.49,19,0,0,0,0,0,0,0,0,0,0
O7,23/10/03,28.5,10,10,604.85,0,14.7,16,6,163.51,10,26.6,10,7,477.21,3,13.1,9,9,203.84,0,33.6,21,12,438.9,9,27,21,7,289,14
O9,22/11/03,23.9,10,9,530.8,1,17.4,9,6,393.21,3,7.7,2,2,371.26,0,4.2,5,5,219.6,0,12.4,4,4,441.5,0,0,0,0,0,0
O10,15/12/03,9,13,0,12.4,13,0.2,0,0,47.99,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0
O12,19/01/04,40.9,23,19,584.86,4,0,0,0,0,0,0,0,0,2.5,0,0.2,0,0,11.75,0,1,1,0,0,1,0,0,0,0,0
O13,09/02/04,25.5,12,11,479.54,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O15,22/03/04,57,23,21,637.7,2,15.4,9,7,182.25,2,1,1,1,23.45,0,29.7,18,3,9.95,15,8.5,6,6,171.5,0,0,0,0,0,0
O17,21/04/04,0,0,-2,-7.5,2,10.3,6,6,359.83,0,9.9,19,6,108.5,13,3.2,0,0,56.8,0,0.4,0,0,31.6,0,11.4,10,7,117.5,3
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-99.04,5,0,0,-2,-98.1,2,0,0,-3,-45.5,3
O20,15/07/04,0,0,-17,-885.74,17,0,0,0,0,0,0,0,0,0,0,0,0,-2,-118.55,2,0,0,0,0,0,0,0,-1,-82.8,1
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,1.4,2,2,10.1,0,3.1,10,5,7.51,5,4.3,13,10,28.29,3,5.9,11,6,-24.95,5,4.1,9,5,17.95,4,0,0,0,0,0
O24,18/10/04,19.2,4,2,25.4,2,12,7,5,-131.74,2,11.4,6,4,-312.51,2,27.6,13,13,414.37,0,18.7,10,9,7.15,1,11.5,14,11,59.67,3
O26,17/11/04,1.8,4,0,46.42,4,7.9,0,-1,60.36,1,25.4,2,2,156.2,0,14.8,1,1,532.48,0,16,5,4,479.05,1,10.2,0,0,206.32,0
O27,06/12/04,0,0,0,0,0,0,0,0,-2.19,0,0,-2,-2,-139.88,0,0,0,0,38.76,0,1.6,0,0,131.64,0,0.1,0,0,8.98,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,0,0,0,0,0,14.9,2,2,311.6,0,16.7,7,7,27.2,0,0.2,0,0,0,0,0,0,0,2.86,0
O33,25/03/05,4.3,15,15,87.97,0,0,8,0,0,8,0,0,0,0,0,13.1,21,15,234.73,6,5.4,8,5,32.75,3,11.7,7,4,45.76,3
O35,26/04/05,0,0,0,0,0,0,3,0,0,3,0,20,0,0,20,0,4,3,-2.03,1,1.1,0,0,157.78,0,0,0,0,0,0
O37,27/05/05,5.4,1,1,2,0,0,0,0,0,0,0,33,0,0,33,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
