observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,7,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.01,1,1.4,12,8,11.88,4,1.3,11,8,5.27,3
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1,0.01,0,0.7,1,0,12.96,1,0.9,2,2,20.71,0
O5,22/09/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,21,6,454.51,15,4.6,8,8,215.23,0,6.2,9,6,292.36,3
O7,23/10/03,14.2,20,10,281.91,10,12.6,20,11,268.54,9,11.9,21,12,250.12,9,29.1,18,14,428.89,4,17,9,9,292.56,0,16.9,11,11,381.89,0
O9,22/11/03,11.3,12,10,452.29,2,9.8,11,10,358.97,1,8.7,9,9,332.88,0,24,8,8,1133.11,0,10.6,4,3,1033.71,1,10.3,3,2,810.38,1
O10,15/12/03,1,1,1,67.65,0,0.3,1,1,38.54,0,0.2,1,1,43,0,3.5,1,0,105.25,1,6,7,0,31.75,7,12.3,10,-3,-47.05,13
O12,19/01/04,23.6,22,11,183.05,11,0.2,0,0,0,0,0.2,0,0,3.25,0,7,13,1,1.65,12,25.1,18,9,303.96,9,42,20,17,1036.36,3
O13,09/02/04,14.9,9,9,266.35,0,10.1,14,4,19.56,10,19.4,17,9,99.05,8,0,0,0,0,0,14.6,8,7,348.99,1,7.5,4,4,632.09,0
O15,22/03/04,35.3,24,20,465.35,4,14,15,11,279.14,4,23.2,18,17,373.15,1,16.6,16,7,144.28,9,4.2,4,2,547.85,2,29.1,26,13,701.81,13
O17,21/04/04,15.5,12,12,232.81,0,1.6,3,3,42.11,0,4.2,3,3,66.3,0,0.5,1,0,46.37,1,0,0,0,0,0,2.7,5,5,378.54,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-1,-16.5,1,0,0,-5,-126.84,5,0,0,0,0,0,0,0,0,0,0,0,0,-3,-15.44,3,0,0,-2,-31.89,2
O20,15/07/04,0,0,-16,-688.1,16,0,0,-4,-156.92,4,0,0,-9,-225.15,9,0,0,0,0,0,0,0,-3,-27,3,0,0,-1,-1.2,1
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,2.3,14,12,12.03,2,1.7,14,7,3.94,7,1.5,13,13,1.64,0,0,0,-12,-933.3,12,4.3,11,0,-925.21,11,0.9,9,-12,-825.21,21
O24,18/10/04,13.1,6,6,-547.51,0,4,7,7,-188.05,0,4.9,10,11,-498.6,-1,16.1,12,12,71.95,0,15.2,9,8,180.6,1,8.6,9,9,193.45,0
O26,17/11/04,19.8,4,3,396.44,1,8.9,0,0,176.76,0,8.9,0,0,181.46,0,19.1,6,-2,-246.45,8,8.7,1,1,291.86,0,4.4,0,-2,-814.14,2
O27,06/12/04,0,0,0,1.92,0,0,0,0,-2.16,0,0.1,0,0,6.22,0,0,2,2,531.38,0,0,0,0,-24.84,0,0,0,0,1114.42,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.2,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0
O33,25/03/05,0,31,21,0,10,6.4,19,11,88.75,8,0,0,0,0,0,8.4,7,7,0,0,0,0,0,0,0,0,0,0,0,0
O35,26/04/05,0,4,4,0,0,1.3,1,0,65.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,6,0,11
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
