observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,12,8,0,4,0,12,11,0,1
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,0,33.38,1,0,2,0,1.61,2,0.5,0,0,11.82,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,-1,10.95,1,0,0,0,8.77,0
O5,22/09/03,4.7,23,7,38.2,16,7,18,7,62.76,11,7.5,23,7,43.25,16,11.2,6,6,172.93,0,11.8,10,8,267.56,2,1.3,2,-1,84.84,3
O7,23/10/03,9.7,9,6,272.15,3,19.8,8,7,136.19,1,30.4,12,11,523.55,1,22.2,8,6,628.5,2,12,9,9,217.88,0,8.1,7,7,90.7,0
O9,22/11/03,26.9,9,9,458.88,0,14.7,7,7,353.59,0,20.3,11,10,458.07,1,13,6,5,406.65,1,26.2,9,4,512.65,5,6.1,3,1,432.8,2
O10,15/12/03,3.9,4,1,159.64,3,0,0,0,41.71,0,3.2,4,4,84.2,0,2.5,1,1,110.35,0,2.7,1,1,335.9,0,0.1,1,0,62.1,1
O12,19/01/04,17.8,20,14,208.87,6,0.2,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0,16.6,13,9,116.56,4,0,0,0,0,0
O13,09/02/04,1.9,0,0,143.58,0,0,0,0,0,0,0.1,1,1,4.05,0,0,0,0,0,0,4.2,3,1,97.88,2,0,0,0,0,0
O15,22/03/04,2.2,2,2,100.4,0,8,9,8,142.35,1,13,9,9,105.78,0,14.4,7,5,174.5,2,2.3,5,3,210.95,2,8.7,11,11,347.75,0
O17,21/04/04,0,0,0,0,0,1.9,3,2,4,1,3,5,3,44.27,2,0.3,0,0,5,0,0,0,0,3.15,0,0.8,0,0,10.75,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-2,-5.25,2,0,0,-7,-145.75,7,0,0,-9,-297.1,9,0,0,-7,-87.7,7,0,0,0,0,0
O20,15/07/04,0,0,-2,-5.25,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,-129.15,3,0,0,0,0,0,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,2.9,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,4.9,13,6,19.75,7,0,11,5,0,6,2.4,15,7,10.6,8,4.8,0,-5,-323.63,5,8.9,0,-5,-171.28,5,7,3,-5,-61.07,8
O24,18/10/04,23.5,13,12,9.22,1,11.1,12,12,-153.17,0,16.9,10,10,-57.66,0,19.5,15,10,-54.32,5,24.4,17,15,188.82,2,5.9,6,6,-193.56,0
O26,17/11/04,7.3,6,4,241.16,2,32.8,3,1,94.32,2,15.9,3,3,-149.48,0,5.6,2,2,243.21,0,11.9,2,1,354.18,1,10.3,6,3,213.71,3
O27,06/12/04,0.6,1,0,26.06,1,0,3,3,259.8,0,0.7,0,0,430.87,0,1.1,0,0,32.65,0,1.2,0,0,-20.69,0,0,0,0,99.91,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,3,5,5,10.77,0,5.9,3,3,-45.15,0,0.4,0,0,2.78,0,4.4,4,4,6.85,0,2.7,5,5,4.61,0,10.6,11,11,54.28,0
O33,25/03/05,6.1,6,5,47.44,1,8.8,14,6,112.49,8,8.4,19,7,92.4,12,18,14,7,199.63,7,12.2,9,2,284.45,7,11.8,8,7,250.35,1
O35,26/04/05,7.8,9,9,210.32,0,3.5,4,3,82.18,1,4.7,6,6,132.05,0,0.4,0,0,133.51,0,1.8,0,0,180.94,0,3.4,0,0,415.93,0
O37,27/05/05,0,0,0,0.7,0,0,0,0,0,0,0.2,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,4.75,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
