,Date ,27-28/08/2003,28-29/08/2003,29-30/08/2003,02-03-09/2003,03-04/09/2003,10-11/09/2003,14-15/09/2023,16-17/09/2023,18-19/09/2003,21-22/09/2003,23-24/09/2003,24-25/09/2003,29-30/09/2003,30/09/2003-01/10/2003
,& environment,AFS 2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,AFS 1.2m,Open area 2m,MO 2m,MO 1.2m,Open area 2m,AFS 2m,AFS 1.2m,Open area 2m,MO 2m
,13:30,68.09,73.08,1614.00,1510.00,1431.00,23.54,1195.00,1591.00,1649.00,1464.00,15.37,94.60,1745.00,1684.00
,13:40,106.20,42.91,1454.00,1510.00,1327.00,20.28,1146.00,1567.00,1652.00,1490.00,104.13,89.65,1725.00,1662.00
,13:50,66.41,51.65,1476.50,1526.00,1449.00,9.05,1508.00,1582.00,414.30,1470.00,98.00,15.37,1667.40,1625.00
,14:00,74.83,58.27,1446.40,1502.00,1457.00,30.80,1502.40,1594.00,1492.00,1305.10,117.88,64.30,1555.00,1486.90
,14:10,26.20,56.97,1416.30,1471.00,1447.00,46.56,1585.00,1214.00,1521.00,1176.00,371.75,60.38,1511.00,1570.00
,14:20,25.36,64.62,1386.20,1406.00,1443.00,49.70,1499.00,1009.00,1487.00,1309.00,331.75,73.02,1522.20,1538.00
,14:30,26.30,72.51,1421.00,1370.00,1410.00,46.98,1492.00,1180.00,1457.00,1276.00,388.00,73.75,1459.40,1568.00
,14:40,40.24,72.65,1329.00,1332.00,1361.00,60.40,1498.00,1093.00,1419.00,1250.00,332.50,61.10,1470.20,1474.00
,14:50,32.43,70.63,1269.00,1278.00,1318.00,65.95,1446.00,1157.00,1375.00,1209.00,323.00,78.76,1332.00,1435.00
,15:00,41.38,50.54,1040.00,1221.00,1269.00,42.08,1493.00,1300.00,1317.00,1112.00,297.00,77.54,1445.70,1369.00
,15:10,170.70,46.57,955.40,1176.00,1224.00,83.36,1341.00,1170.00,1267.00,1082.00,396.75,81.52,1992.00,1303.00
,15:20,242.40,47.17,922.90,1126.00,1177.00,125.40,1291.00,1026.00,1214.00,1030.00,321.00,82.42,1391.00,1245.00
,15:30,413.50,53.41,1121.00,1073.00,1127.00,292.10,1233.00,1195.00,1157.00,977.90,322.25,63.97,1561.00,1188.00
,15:40,254.80,101.20,1034.00,1020.00,1032.00,97.06,1168.00,1129.00,1104.00,921.00,248.25,62.99,1454.00,1128.00
,15:50,268.70,38.38,935.40,955.50,976.20,132.30,1198.60,759.30,1034.00,866.00,217.95,61.13,1241.00,1064.00
,16:00,58.97,37.48,820.20,899.00,914.20,25.60,1140.40,665.20,970.20,798.90,269.75,69.14,957.00,1003.00
,16:10,43.31,40.29,826.70,835.80,848.30,30.69,877.50,839.00,846.90,739.00,226.25,69.65,963.80,941.60
,16:20,37.01,42.71,780.40,765.90,781.20,81.58,816.80,770.00,605.40,662.70,277.00,70.46,989.30,875.80
,16:30,18.09,22.66,732.10,691.70,708.00,17.51,733.50,694.90,565.10,590.40,222.15,46.76,589.90,805.00
,16:40,14.29,21.82,624.00,622.10,584.70,19.84,545.00,564.90,620.00,686.50,150.53,36.83,890.10,727.00
,16:50,13.60,23.58,517.70,551.20,311.10,26.22,261.90,515.10,616.80,601.00,117.55,34.72,648.20,656.60
,17:00,41.65,26.04,511.30,476.50,334.30,24.27,156.20,495.00,540.00,599.50,112.53,43.50,581.20,308.80
,17:10,91.61,24.18,178.80,80.54,299.51,17.45,183.81,427.70,456.40,404.10,89.70,45.60,509.80,69.66
,17:20,18.00,14.18,145.90,53.25,221.30,13.07,185.11,317.40,298.60,270.60,75.20,36.16,439.40,125.60
,17:30,17.95,12.61,81.15,41.56,186.98,11.03,139.30,74.29,97.96,134.30,58.43,30.11,365.70,202.60
,17:40,6.45,12.14,79.74,36.71,76.33,8.80,219.20,63.20,89.02,105.60,48.78,34.80,83.49,86.94
,17:50,6.68,8.89,36.16,32.29,64.26,7.41,106.10,53.44,76.16,86.73,41.63,33.85,41.02,44.92
,18:00,6.41,4.63,27.99,27.37,50.02,5.98,43.25,43.66,62.11,67.58,33.10,16.10,32.87,39.25
,18:10,2.68,2.68,18.63,20.19,33.23,4.19,26.36,22.71,44.90,46.22,13.76,8.02,27.14,32.40
,18:20,1.12,1.23,19.22,11.11,11.78,2.41,16.24,15.15,26.60,30.46,3.01,6.06,20.40,24.27
,18:30,0.27,0.31,2.10,2.8000,2.52,0.85,6.90,4.49,3.93,6.18,1.52,2.32,4.98,2.97
