,Date ,04-05/11/2004,07-08/11/2004,08-09/11/2004,09-10/11/2004,10-11/11/2004,11-12/11/2004,12-13/11/2004,13-14/11/2004,31/10-01/11/2004,01-02/11/2004,02-03/11/2004
,& environment,MO 2m,Open area 2m,Open area 2m,MO 2m,MO 1.2m,MO 1.2m,AFS 1.2m,AFS 2m,AFS 1.2m,AFS 2m,MO 1.2m
,10:50,380.7,1852,1211,333.1,280.4,137,36.5,48.33,19.06,22.3,544.6
,11:00,266.4,1785,1218,277.4,287.3,53.31,29.31,51.77,20.42,31.92,249
,11:10,332,2074,898.8,155.7,257.2,68.96,27.32,55.204,20.32,54.63,283.3
,11:20,574,2026,1321,164.1,274.6,56.24,34.2,58.638,20.75,41.97,328
,11:30,778,2074,1174,215.3,296.6,54.56,42.47,62.072,26.04,459.1,597.2
,11:40,788.8,2101,2198,917.4,257.4,118.2,56.18,61.61,17.95,38.27,189.8
,11:50,832,2116,1757,873.5,240.7,116.4,47.36,57.95,21.89,42.91,114.3
,12:00,780.8,1854,1809,868.6,257.6,100.2,45.84,187.4,32.67,43.92,120.5
,12:10,714.6,2154,2133,845,219,92.9,57.78,73.06,30.89,52.38,130.5
,12:20,661,2118,1893,833.7,246,143,47.15,55.98,25.17,38.33,119.7
,12:30,621,2112,2250,831.1,220.5,212.9,72.14,78.15,32.28,36.95,129.1
,12:40,600.6,2010,1995,789,279.1,202,45.06,75.32,18.53,26.95,147.9
,12:50,639.4,1979,2031,769,208.1,192.6,37.39,74.14,9.372,74.09,204.7
,13:00,662.8,1906,2121,789.3,179.3,233.4,54.54,88.53,13.25,74.96,195.8
,13:10,710.2,2149,2089,727.4,242.2,104,45.33,73.51,14.09,76.55,199.6
,13:20,767.3,1767,1461,647.2,261.7,94.03,75.27,76.87,35.84,65.08,243.7
,13:30,775.1,2110,1494,571.5,211.7,39.36,56.81,50.3,62.04,70.37,269.9
,13:40,752.5,1390,1320,502.8,178.6,100.8,93.9,87.62,129.6,47.95,318.3
,13:50,727.9,1311,1788,505.7,182.3,114.3,113.7,175,96.01,204,645.4
,14:00,764.7,1944,1136,505.1,174.1,88.7,216,325.6,62.98,500.7,376.6
,14:10,669.9,1894,1342,462.2,167.5,71.49,230.5,378.7,74.62,144.3,265.8
,14:20,554,1669,1347,437.5,161.9,69.52,116.5,112.8,86.68,128.1,261.1
,14:30,493.2,1065,1464,436.2,188.2,67.94,125.1,325,78.01,75.88,299.1
,14:40,418.4,897.3,1824,576.3,212.3,63.46,145.5,191.1,77.1,127.6,566.1
,14:50,272.8,921,1347,578.6,191.8,57.06,149.6,158.1,67.74,37.39,202.2
,15:00,250,1783,786.4,513.8,168.5,53.23,108.6,153.1,42.38,126.2,196.5
,15:10,263.2,1601,1147,309.7,162.6,53.74,407.8,98.44,14.96,130.5,156.4
,15:20,221.5,1408,1221,311.8,155,39.64,207.1,458.8,13.2,73.98,207.1
,15:30,294.1,1676,1235,303.8,169.9,48.11,45.16,77.79,19.24,31.51,231.1
,15:40,356.5,1526,1149,374.6,175.8,67.97,81.15,96.04,30.76,29.64,530.9
,15:50,330,1444,946.1,345.5,183.7,115,40.34,42.16,26.82,25.65,832.1
,16:00,261.7,1247,1033,334.7,203.6,142.9,49.89,64.2,27.44,16.05,535.6
,16:10,143.1,1217,1014,402.7,173.7,170.8,33.16,42.87,26.99,25.08,164.7
,16:20,197.4,1014,769.5,362.5,182.5,79.88,231,70.05,24.87,115.1,261.9
,16:30,170,1041,866.4,263.5,215.7,157.3,74.18,136,45.34,12.23,101.7
,16:40,88.94,964.8,752.8,317.4,193.4,167.4,48.72,358,59.02,12,73.61
,16:50,46.46,902.1,720.6,385,153.8,82.71,80.71,90.28,51.32,44.3,59.28
,17:00,32.48,884.8,690.7,386.6,155.7,56.92,37.61,127.7,46.9,14.09,53.82
,17:10,22.54,789.4,482.9,264.4,136.5,49.27,12.59,36,36.58,11.46,67.15
,17:20,11.84,705.8,447.1,192.4,84.94,31.34,12.68,21.2,25.91,10.79,71.58
,17:30,15.27,564.2,456.8,130.6,78.62,30.73,9.828,25.59,25.31,10.14,70.29
,17:40,10.64,559,615.7,75.33,58.6,28.39,9.225,11.11,17.42,9.253,64.66
,17:50,7.888,462.4,467.2,71.14,52.85,40.27,8.947,11.53,13.63,8.06,68.4
,18:00,6.775,340.3,329.9,67.33,55.18,56.95,7.63,11.69,11.08,7.345,48.89
,18:10,45.15,263.8,244.4,60.92,37.49,56.36,7.026,8.17,9.168,7.738,34.43
,18:20,49.21,192.7,176.3,61.9,47.04,23.05,7.029,18.82,7.41,4.793,29.02
,18:30,26.91,98.4,86.74,40.19,22.13,12.15,5.318,8.744,5.314,4.073,14.51
,18:40,11.461,19.56,11.484,20.191,13.62,7.69,4.749,6.488,3.444,1.863,6.017
,18:50,2.831,3.111,3.471,2.178,2.11,1.795,0.8919,1.774,1.114,1.034,1.476
