Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,0.508,0.704,0.998,1.08,1.121
Nov 2003,0.359,0.492,1.025,1.093,1.089
Jan 2004,0.439,0.564,0.676,1.079,1.052
Mar 2004,0.426,0.546,0.963,1.112,1.118
May 2004,0.622,0.639,0.962,0.971,1.043
Jul 2004,0.523,0.848,1.052,1.045,1.114
Sep 2004,0.575,0.789,0.771,0.887,1.068
Nov 2004,0.428,0.408,0.856,1.05,1.136
Jan 2005,0.507,0.642,0.584,0.794,1.072
Mar 2005,0.671,0.608,0.581,0.682,1.136
May 2005,0.554,0.627,0.754,0.866,1.133
