Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,0.64,0.723,1.099,1.12,1.103
Nov 2003,0.675,0.647,1.063,1.124,1.12
Jan 2004,0.681,0.631,1.029,1.094,1.1
Mar 2004,0.521,0.648,0.966,1.048,1.065
May 2004,0.66,0.68,1.061,1.068,1.108
Jul 2004,0.646,0.782,1.05,1.106,1.13
Sep 2004,0.812,0.829,0.927,1.024,1.146
Nov 2004,0.576,0.66,0.885,1.081,1.176
Jan 2005,0.744,0.707,0.659,1.022,1.154
Mar 2005,0.574,0.705,0.747,0.745,1.17
May 2005,0.663,0.817,0.745,0.825,1.129
