Period,AFS_1.2m,AFS_2m,MO_1.2m,MO_2m,Open_2m
Sep 2003,41.1,120.8,573.8,562.2,598.2
Nov 2003,26.7,28.8,626.6,710.5,733.3
Jan 2004,26.0,123.7,793.4,847.7,907.7
Mar 2004,29.7,30.6,147.1,251.8,379.7
May 2004,11.5,20.6,100.1,121.5,283.3
Jul 2004,14.3,15.2,317.2,306.3,398.8
Sep 2004,80.2,70.7,161.9,312.6,544.1
Nov 2004,44.1,56.4,115.8,176.3,757.5
Jan 2005,66.9,87.1,490.7,704.6,1096.3
Mar 2005,40.0,28.6,176.4,373.1,395.6
May 2005,11.8,15.7,19.2,102.4,159.1
