observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,4,20,6,41.36,14,1.5,11,4,7.56,7,0,0,0,0,0,39.1,21,20,696.96,1,26.4,23,16,579.98,7,28.3,20,13,543.35,7
O7,23/10/03,12,9,9,340.36,0,10.7,8,8,345.19,0,18.6,23,11,195.35,12,30.1,10,10,1046.06,0,5.3,2,2,306.25,0,25.33,11,10,433.7,1
O9,22/11/03,7,6,6,387.23,0,11.7,6,3,185.44,3,23.9,9,8,525.4,1,11,2,3,919.4,-1,0.2,0,0,18.5,0,15.87,5,5,691.21,0
O10,15/12/03,4.5,12,1,56.1,11,4.7,9,3,56.9,6,2.7,2,1,94.75,1,1.2,1,1,161.1,0,0,0,0,0,0,5.5,8,1,46.18,7
O12,19/01/04,12,10,7,159.96,3,18.4,16,15,342.15,1,5.3,11,0,0,11,1.5,1,1,4.7,0,0,0,0,0,0,40.6,17,8,275.5,9
O13,09/02/04,0.5,1,1,2.42,0,15.6,12,12,166.24,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,12.5,12,7,57.6,5
O15,22/03/04,0,0,0,0,0,20,13,9,221.4,4,18.2,15,14,346.57,1,30.6,20,14,911.34,6,5.2,5,4,155,1,12.8,11,10,501.25,1
O17,21/04/04,2.8,4,2,65.8,2,7.7,10,3,10.92,7,11.1,5,5,373.22,0,0.2,0,0,55,0,2.7,2,2,87.25,0,2.5,5,5,92.65,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-1,-5.1,1,0,0,-12,-425.34,12,0,0,0,0,0,0,0,-15,-862.42,15,0,0,-1,-33.75,1,0,0,-12,-626.62,12
O20,15/07/04,0,0,-2,-39.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0,0,0,0,0,0,0,0,0,0,3.3,19,9,8.91,10,18.5,13,11,86.5,2,8.5,14,6,-47.93,8,12.7,17,0,-182.49,17
O24,18/10/04,4.8,10,9,-195.95,1,7.8,19,14,-245.21,5,9.8,10,8,-149.75,2,18.4,19,9,363.91,10,12.9,8,8,352.55,0,21.5,8,7,582.15,1
O26,17/11/04,1.4,1,1,35.47,0,12.6,3,2,259.78,1,23.9,2,-3,122.49,5,8.4,1,-2,482.23,3,12.6,1,1,469.59,0,10.3,1,1,350.36,0
O27,06/12/04,0.2,0,0,1.05,0,1.2,1,1,22.1,0,2.2,6,6,909.93,0,0.1,1,1,12.03,0,1.1,0,0,15.85,0,0,0,0,52.06,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,16.4,13,13,144.03,0,0,0,0,0,0,6.2,5,5,45.52,0,0,0,0,0,0,3.7,5,5,8.64,0
O33,25/03/05,0,0,0,0,0,0,26,10,0,16,0,0,0,0,0,9.5,4,4,136.63,0,15.2,18,12,383.18,6,5.6,12,4,-3.64,8
O35,26/04/05,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1.8,2,2,119.89,0,0.1,0,0,229.36,0,0,1,1,0,0
O37,27/05/05,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
