observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,12,6,4.3,6,0,0,0,0,0,0,0,0,0,0
O5,22/09/03,6,23,7,58.89,16,5.4,8,7,84.45,1,0,0,0,0,0,20.9,5,4,145.5,1,21.4,25,11,57.04,14,0,0,0,0,0
O7,23/10/03,19.6,7,7,640.11,0,16.8,11,9,661.5,2,14.1,14,11,621,3,37.4,11,11,750.05,0,44.8,8,8,615.24,0,34.9,34,9,176.94,25
O9,22/11/03,25,10,10,785.55,0,22.7,11,11,776.8,0,4.1,2,2,173.25,0,17.9,3,0,783.2,3,25.8,9,9,1601.91,0,27.5,7,7,703.62,0
O10,15/12/03,2.4,0,0,29.35,0,10.5,4,4,155.12,0,0,0,0,0,0,0,0,-1,-94.2,1,2.7,0,0,169.8,0,1.2,0,0,58.65,0
O12,19/01/04,0,0,0,0,0,33,13,10,283.53,3,0,0,0,0,0,0,0,0,0,0,4,5,0,20.55,5,32.3,19,4,6.46,15
O13,09/02/04,0,0,0,0,0,19.1,12,11,185.25,1,0.5,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,18.1,10,9,290.96,1
O15,22/03/04,27.9,12,9,377.8,3,34.1,16,16,421.27,0,19.3,18,18,170.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O17,21/04/04,12.8,6,6,288.2,0,6.1,4,4,103.88,0,3.9,4,4,100.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-33,-1792.65,33,0,0,0,0,0,0,0,-3,-39.65,3,0,0,-8,-171.59,8,0,0,-15,-790.35,15
O20,15/07/04,0,0,0,0,0,0,0,0,0,0,0,0,-5,-465.25,5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-32.5,1
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,0.7,7,0,0.89,7,0.5,0,0,0.75,0,1.9,14,0,4.77,14,1.7,9,4,-192.45,5,0,0,-2,-241.3,2,2.2,10,-5,-248.97,15
O24,18/10/04,16.4,14,14,-170.92,0,14.6,18,13,-603.95,5,14.3,8,7,-163.14,1,13.1,8,8,-147.46,0,29.8,18,12,-303.12,6,25.4,10,10,277.26,0
O26,17/11/04,4,1,0,130.69,1,7.9,2,0,368.84,2,8.9,0,0,220.23,0,15,6,4,336.15,2,29.3,14,2,585.76,12,28,4,3,637.81,1
O27,06/12/04,1.2,-1,-1,-74.62,0,1,0,0,-2,0,0.3,1,1,5.83,0,0,0,0,3.97,0,0,0,-3,-76.23,3,2.4,0,0,-22.02,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,1,0,0,1,8.2,6,6,41.78,0,0.1,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O33,25/03/05,0,0,0,0,0,10,27,18,22.7,9,17.9,23,15,96.35,8,0,0,0,0,0,55.3,37,13,543.92,24,38.8,41,22,320.56,19
O35,26/04/05,0,0,0,0,0,0,10,3,0,7,5.4,8,8,187.69,0,0,0,0,0,0,0.9,0,0,189.07,0,0,3,3,0,0
O37,27/05/05,0,0,0,0,0,0,0,0,0,0,0.7,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
