observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,6,3,1.58,3,1.5,11,7,3.32,4,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,5,4,31.24,1,0.9,0,0,21.28,0,0,0,0,0,0
O5,22/09/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,93.68,0,6.2,1,1,140.25,0,0,0,0,0,0
O7,23/10/03,15.4,15,12,368.7,3,13.9,17,12,468.1,5,16.5,30,12,509.8,18,8.2,8,8,101.44,0,19.5,7,7,341.01,0,22.7,28,20,312.74,8
O9,22/11/03,15.2,5,5,554.55,0,27,13,13,1201.15,0,16.5,9,9,838.28,0,4.2,3,2,169.78,1,2.8,-1,-1,250.1,0,10.4,0,-1,606.17,1
O10,15/12/03,0.3,1,1,103.1,0,9,7,7,601.35,0,0.3,0,0,64.12,0,0.1,0,0,11.65,0,0,0,0,14.5,0,0,0,0,24.4,0
O12,19/01/04,23.4,20,13,483.65,7,43,22,18,751.94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
O13,09/02/04,15.4,5,4,308.85,1,22.5,10,10,738.06,0,7.8,13,6,165.65,7,0,0,0,0,0,0,0,0,0,0,0.3,1,1,115.5,0
O15,22/03/04,5.3,3,0,43.2,3,45.9,25,25,1517.18,0,1,0,0,78.05,0,7.4,5,4,85.5,1,6.6,10,5,14,5,16.1,19,15,188.38,4
O17,21/04/04,21,16,11,514.93,5,11.1,11,7,407.3,4,13.5,16,7,143.5,9,0,0,0,0.75,0,1.5,1,1,31.5,0,2.1,1,1,84.05,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,-16,-889.75,16,0,0,-16,-1238.2,16,0,0,0,0,0,0,0,-15,-284.62,15,0,0,0,0,0,0,0,-6,-129.21,6
O20,15/07/04,0,0,0,0,0,0,0,-6,-504.25,6,0,0,-7,-375.1,7,0,0,0,0,0,0,0,-8,-249.96,8,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,2,10,5,18.7,5,0,0,0,0,0,0.9,0,0,3.1,0,1.5,10,2,5.5,8,4.2,8,5,21.6,3,5.1,9,6,37.53,3
O24,18/10/04,0,9,4,-238.1,5,0,18,14,-2535.45,4,0,12,9,-1087.55,3,11.8,8,8,160.84,0,20.5,8,6,304.8,2,22.7,6,5,533.09,1
O26,17/11/04,17.4,3,3,482.41,0,18.5,2,2,256.9,0,8,0,0,171.43,0,25.7,3,2,404.58,1,20.8,4,3,467.77,1,11.2,2,2,466.88,0
O27,06/12/04,0,0,0,27.65,0,0,0,0,-2.63,0,0,0,0,0,0,0.1,0,0,13.28,0,1,0,0,36.75,0,0.3,0,0,16.21,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,4,4,0,0,0,0,0,0,0
O33,25/03/05,0,0,0,0,0,0,39,13,0,26,0,0,0,0,0,0,1,0,0,1,11.1,10,5,42.35,5,1.8,5,3,17.28,2
O35,26/04/05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,3,3,256.98,0,3.3,2,1,114.32,1
O37,27/05/05,0,0,0,0,0,0,14,5,0,9,0,0,0,0,0,0,0,0,0,0,5.7,4,4,17.45,0,0.4,0,0,12.17,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
