observação,data,MO_acaule_Galho1,MO_aEN_Galho1,MO_afolhas_Galho1,MO_aAF_Galho1,MO_qfolhas_Galho1,MO_acaule_Galho2,MO_aEN_Galho2,MO_afolhas_Galho2,MO_aAF_Galho2,MO_qfolhas_Galho2,MO_acaule_Galho3,MO_aEN_Galho3,MO_afolhas_Galho3,MO_aAF_Galho3,MO_qfolhas_Galho3,FUS_acaule_Galho1,FUS_aEN_Galho1,FUS_afolhas_Galho1,FUS_aAF_Galho1,FUS_qfolhas_Galho1,FUS_acaule_Galho2,FUS_aEN_Galho2,FUS_afolhas_Galho2,FUS_aAF_Galho2,FUS_qfolhas_Galho2,FUS_acaule_Galho3,FUS_aEN_Galho3,FUS_afolhas_Galho3,FUS_aAF_Galho3,FUS_qfolhas_Galho3
O1,24/06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,24/07/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,6,0,0,6,1.6,11,3,1.67,8,0,0,0,0,0
O3,23/08/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4,0,0,4,2,2,2,17.84,0,0.6,6,0,0,6
O5,22/09/03,7.2,15,11,98.82,4,4.8,13,6,14.9,7,0,0,0,0,0,19,21,13,120.1,8,9.4,7,2,92.49,5,0,6,6,14.14,0
O7,23/10/03,3.2,2,-2,102.23,4,22,12,12,766.9,0,21,24,21,422.9,3,25,11,11,479.27,0,0.7,0,0,12.5,0,23.2,4,4,148.38,0
O9,22/11/03,28.3,21,14,419.88,7,11.9,8,8,444.3,0,18.8,13,12,473.2,1,9.6,6,6,624.95,0,0,0,0,62,0,33.6,10,10,1692.89,0
O10,15/12/03,0,0,0,1.75,0,0.3,1,1,21.65,0,3.6,6,4,103.15,2,1.4,1,0,21.38,1,0,0,0,1,0,0.7,1,1,242.15,0
O12,19/01/04,2,3,3,96.32,0,3.3,5,2,69.89,3,1.9,1,1,14.5,0,6.57,0,-4,19.13,4,0,0,0,0,0,0,0,0,0,0
O13,09/02/04,0,0,0,0,0,0.1,1,1,2.81,0,0.1,1,1,9,0,3.2,1,0,0.62,1,0,0,0,0,0,0,0,0,0,0
O15,22/03/04,10.5,12,8,164.55,4,27.8,26,24,539.23,2,9.4,10,8,157,2,34.6,19,12,692.25,7,0,2,2,0,0,0,0,0,0,0
O17,21/04/04,5,5,3,149.25,2,6,5,4,152.72,1,2.6,5,3,66.94,2,10.8,6,6,412.75,0,16.2,9,8,159,1,2.3,4,4,97,0
O18,13/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O19,15/06/04,0,0,0,0,0,0,0,-14,-735.05,14,0,0,-26,-748.35,26,0,0,-14,-820.85,14,0,0,-6,-43.5,6,0,0,-9,-277.32,9
O20,15/07/04,0,0,-6,-148.8,6,0,0,0,0,0,0,0,-6,-141,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O21,15/08/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22,15/09/04,1.1,10,0,-19.57,10,0.5,5,0,0,5,0.6,5,0,0,5,4.3,0,-4,-150.43,4,0.1,0,-2,-48.5,2,0,0,-1,-75.64,1
O24,18/10/04,11.8,17,15,-234.26,2,7.1,8,7,-300.94,1,4.2,12,12,-110.4,0,42.7,0,0,-291.5,0,16.5,0,0,-42.5,0,13.1,0,0,-1744.6,0
O26,17/11/04,5.8,2,-2,63.73,4,4.3,0,0,53.32,0,9,3,3,362.85,0,21.3,0,0,376.47,0,34.2,0,-1,16.3,1,28.8,0,0,817.07,0
O27,06/12/04,0.4,0,0,0.94,0,1.1,0,0,0.18,0,0.5,0,0,8.95,0,0,0,0,3.13,0,0,0,0,693.82,0,0,0,0,-29.62,0
O29,19/01/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.05,0,0,0,0,0,0
O31,24/02/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,4,4,0,0,6.7,7,7,22.24,0
O33,25/03/05,0,0,0,0,0,7.3,26,9,53.47,17,0,0,0,0,0,0,30,0,0,30,14.2,105,19,214.23,86,9.1,7,5,318.26,2
O35,26/04/05,0,0,0,0,0,5.5,16,10,67.6,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0.5,0,0,30.96,0
O37,27/05/05,0,0,0,0,0,0.8,3,3,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O38,10/06/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
